No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;085;BAWANG GORENG BR;;;;;5;PCS;20.000;0;100.000;
1;0171;YOGHURT JELLY BOTOL 10000;;;;;13;PCS;8.500;0;110.500;
1;02222001;SNACK MAKARONI DLL BR 5000;;;;;4;PCS;4.000;0;16.000;
1;0369;KRUPUK RDN BESAR;;;;;7;PCS;4.000;0;28.000;
2;875692692150;KRUPUK RDN KECIL;;;;;8;PCS;1.600;0;12.800;
1;8994596;YOGHURT MAMAZY 250ML;;;;;12;PCS;8.000;0;96.000;
1;0298;SNACK BAPER;;;;;10;PCS;2.000;0;20.000;
1;0369;KRUPUK RDN BESAR;;;;;4;PCS;4.000;0;16.000;
2;875692692150;KRUPUK RDN KECIL;;;;;2;PCS;1.600;0;3.200;
1;8992907000561;SARI ROTI KRIM ZUPER STRAW;;;;;1;PCS;4.500;0;4.500;
2;8992907996772;SARI ROTI DORAYAKI STRAWBERRY;;;;;1;PCS;5.400;0;5.400;
1;8992304016967;GARNIER MEN ACNO FIGHT FOAM 50ML;;;;;3;PCS;22.719;0;68.157;
2;8992304009181;GARNIER MEN OIL CONTROL ICY SCRUB 50 ML;;;;;3;PCS;22.719;0;68.157;
3;8992304009143;GARNIER MEN OIL CONTROL FOAM 50ML;;;;;2;PCS;22.719;0;45.438;
