No.;Kd. Item;Nama Item;Jml;Satuan;Harga;Pot. %;Total;
1;011121211;ROTI ADA KRIM BR;4;PCS;7.200;0;28.800;
1;0259;TEH TARIK HANAANG CUP;2;PCS;5.500;0;11.000;
1;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;1;PCS;16.200;0;16.200;
2;8992907230012;SARI ROTI ISI COKLAT;1;PCS;3.150;0;3.150;
3;8992907420017;SARI ROTI KRIM COKLAT;2;PCS;4.500;0;9.000;
4;8992907996390;SARI ROTI SOBEK DUO COK;2;PCS;9.000;0;18.000;
5;8992907996413;SARI ROTI SOBEK DUO COK KEJ;1;PCS;9.450;0;9.450;
6;8992907720018;SARI ROTI SOBEK COKLAT KEJU;1;PCS;16.200;0;16.200;
7;8992907710019;SARI ROTI SOBEK COKLAT;1;PCS;16.200;0;16.200;
8;8992907780012;SARI ROTI KASUR KEJU;1;PCS;11.700;0;11.700;
9;8992907996321;SARI ROTI KASUR KLASIK;2;PCS;9.900;0;19.800;
1;020101;ROTI AOKA;5;PCS;3.500;0;17.500;
2;0320;ROTI COY;6;PCS;2.500;0;15.000;
1;0298;SNACK BAPER;4;PCS;2.000;0;8.000;
1;011121211;ROTI ADA KRIM BR;1;PCS;7.200;0;7.200;
1;8992907952327;SARI ROTI SANDWICH COKLAT;1;PCS;5.400;0;5.400;
2;8992907420017;SARI ROTI KRIM COKLAT;2;PCS;4.500;0;9.000;
1;6950561102368;DELICIOUS MANGGO 150 ML;3;PCS;8.000;0;24.000;
2;6950561102382;DELICIOUS STRAW 150 ML;3;PCS;8.000;0;24.000;
3;6950561102351;DELICIOUS ORANGE 150 ML;2;PCS;8.000;0;16.000;
1;8995102704340;MAMASUKA NUGGET PREMIUM 460 GR;4;PCS;40.499;0;161.996;
2;8995102704333;MAMASUKA NUGGET PREMIUM 170 GR;3;PCS;15.300;0;45.900;
1;011121211;ROTI ADA KRIM BR;1;PCS;7.200;0;7.200;
1;020101;ROTI AOKA;4;PCS;3.500;0;14.000;
1;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;1;PCS;16.200;0;16.200;
2;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;2;PCS;4.950;0;9.900;
1;0369;KRUPUK RDN BESAR;1;PCS;4.000;0;4.000;
2;875692692150;KRUPUK RDN KECIL;3;PCS;1.600;0;4.800;
1;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;1;PCS;16.200;0;16.200;
2;8992907952327;SARI ROTI SANDWICH COKLAT;4;PCS;5.400;0;21.600;
3;8992907952549;SARI ROTI DORAYAKI COKLAT;1;PCS;5.400;0;5.400;
4;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;2;PCS;4.950;0;9.900;
5;8992907952143;SARI ROTI KRIM KEJU;1;PCS;4.500;0;4.500;
1;011121211;ROTI ADA KRIM BR;5;PCS;7.200;0;36.000;
1;8992907952327;SARI ROTI SANDWICH COKLAT;4;PCS;5.400;0;21.600;
2;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;3;PCS;4.950;0;14.850;
3;8992907996413;SARI ROTI SOBEK DUO COK KEJ;1;PCS;9.450;0;9.450;
4;8992907710019;SARI ROTI SOBEK COKLAT;2;PCS;16.200;0;32.400;
5;8992907780012;SARI ROTI KASUR KEJU;1;PCS;11.700;0;11.700;
1;0320;ROTI COY;6;PCS;2.500;0;15.000;
2;020101;ROTI AOKA;4;PCS;3.500;0;14.000;
1;8991102800020;KIRANTI DATANG BULAN RASA ORIGINAL;48;PCS;5.014;0;240.672;
1;0369;KRUPUK RDN BESAR;3;PCS;4.000;0;12.000;
2;875692692150;KRUPUK RDN KECIL;4;PCS;1.600;0;6.400;
1;0171;YOGHURT JELLY BOTOL 10000;2;PCS;8.500;0;17.000;
1;8997009539179;PADIMAS CUPCAKE;1;PCS;2.500;0;2.500;
2;8997009539278;PADIMAS MOONCAKE;3;PCS;3.000;0;9.000;
3;8997009539261;PADIMAS ROTI LILIT;2;PCS;3.000;0;6.000;
1;089686590227;CHIKI BALLS WAGYU BEEF 55G;7;PCS;4.642;0;32.494;
2;089686010947;INDOMIE GORENG;1;PCS;2.775;0;2.775;
3;089686040128;INDOMIE TAKOYAKI;18;PCS;5.275;0;94.950;
1;011121211;ROTI ADA KRIM BR;1;PCS;7.200;0;7.200;
1;0453;BROWNIES BUMI RASA;2;PCS;5.000;0;10.000;
1;034;TELOR OMEGA ISI 6;5;PCS;15.099;0;75.495;
2;036;TELOR OMEGA ISI 10;7;PCS;24.399;0;170.793;
1;011121211;ROTI ADA KRIM BR;5;PCS;7.200;0;36.000;
1;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;1;PCS;16.200;0;16.200;
1;1122211122;SNACK LANGGENG;10;PCS;18.000;0;180.000;
1;875692692150;KRUPUK RDN KECIL;4;PCS;1.600;0;6.400;
2;0369;KRUPUK RDN BESAR;1;PCS;4.000;0;4.000;
1;8993365135031;MADU TJ MURNI 500G;3;PCS;46.703;0;140.109;
2;8997021870540;HOT IN CREAM 60GR;1;PCS;13.398;0;13.398;
3;8992003785584;TEJAHE BANDREK 100G / BAG;6;PAK;5.500;0;33.000;
1;034;TELOR OMEGA ISI 6;3;PCS;15.099;0;45.297;
2;036;TELOR OMEGA ISI 10;5;PCS;24.399;0;121.995;
1;8997009539179;PADIMAS CUPCAKE;2;PCS;3.000;0;6.000;
2;8997009539278;PADIMAS MOONCAKE;3;PCS;3.000;0;9.000;
1;8993207110080;CHAMP SOSIS AYAM 1;144;PCS;756;0;108.864;
2;8993207120072;CHAMP SOSIS SAPI 1;144;PCS;756;0;108.864;
1;8995154802582;KT SOES SNACK CREAM CHEESE 177 GR;1;PCS;39.999;0;39.999;
2;8995154802551;KT SOES SNACK CHOCOLATE 153 GR;1;PCS;39.999;0;39.999;
1;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;1;PCS;4.950;0;4.950;
2;8992907420017;SARI ROTI KRIM COKLAT;1;PCS;4.500;0;4.500;
1;0298;SNACK BAPER;10;PCS;2.000;0;20.000;
1;0320;ROTI COY;8;PCS;2.500;0;20.000;
1;0171;YOGHURT JELLY BOTOL 10000;1;PCS;8.500;0;8.500;
1;011121211;ROTI ADA KRIM BR;1;PCS;7.200;0;7.200;
1;0111100;SERUNDENG SINDANG SONO;4;PCS;8.000;0;32.000;
1;8992907996178;SARI ROTI TAWAR MILKY SOFT;1;PCS;11.700;0;11.700;
