No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;8994596;YOGHURT MAMAZY 250ML;;;;;4;PCS;8.000;0;32.000;
1;02222001;SNACK MAKARONI DLL BR 5000;;;;;13;PCS;4.000;0;52.000;
1;899405;PARFUME DIARY ALL VARIANT 100ML;;;;;12;PCS;10.999;0;131.988;
1;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;;;;;1;PCS;16.200;0;16.200;
2;8992907420017;SARI ROTI KRIM COKLAT;;;;;2;PCS;4.500;0;9.000;
3;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;4;PCS;5.400;0;21.600;
4;8992907780012;SARI ROTI KASUR KEJU;;;;;1;PCS;12.250;0;12.250;
5;8992907996321;SARI ROTI KASUR KLASIK;;;;;1;PCS;10.500;0;10.500;
1;02211111;KERIPIK BAWANG KECIL BR;;;;;2;PCS;5.000;0;10.000;
1;0453;BROWNIES BUMI RASA;;;;;13;PCS;5.000;0;65.000;
1;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;;;;;1;PCS;16.200;0;16.200;
1;0171;YOGHURT JELLY BOTOL 10000;;;;;1;PCS;8.500;0;8.500;
1;0259;TEH TARIK HANAANG CUP;;;;;10;PCS;5.500;0;55.000;
1;0555511100;KRIPIK KRIWIL DECONE;;;;;6;PCS;5.000;0;30.000;
1;0369;KRUPUK RDN BESAR;;;;;7;PCS;4.000;0;28.000;
1;7622300442507;OREO ICE CREAM 133G;;;;;1;PCS;7.905;0;7.905;
1;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;;;;;2;PCS;16.200;0;32.400;
2;8992907996772;SARI ROTI DORAYAKI STRAWBERRY;;;;;1;PCS;5.400;0;5.400;
1;02211111;KERIPIK BAWANG KECIL BR;;;;;1;PCS;5.000;0;5.000;
1;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;;;;;2;PCS;4.500;0;9.000;
2;8992907996758;SARI ROTI SANDWICH ZUPERR MOCHA;;;;;3;PCS;4.500;0;13.500;
3;8992907420017;SARI ROTI KRIM COKLAT;;;;;1;PCS;4.500;0;4.500;
4;8992907952549;SARI ROTI DORAYAKI COKLAT;;;;;1;PCS;5.400;0;5.400;
5;8992907996772;SARI ROTI DORAYAKI STRAWBERRY;;;;;1;PCS;5.400;0;5.400;
1;1122211122;SNACK LANGGENG;;;;;9;PCS;18.000;0;162.000;
1;875692692150;KRUPUK RDN KECIL;;;;;4;PCS;1.600;0;6.400;
2;0369;KRUPUK RDN BESAR;;;;;6;PCS;4.000;0;24.000;
1;0555511100;KRIPIK KRIWIL DECONE;;;;;1;PCS;5.000;0;5.000;
1;0167;PIKDA MA ACAH;;;;;2;PCS;3.500;0;7.000;
1;8992907710019;SARI ROTI SOBEK COKLAT;;;;;1;PCS;16.200;0;16.200;
1;8992907952143;SARI ROTI KRIM KEJU;;;;;1;PCS;4.500;0;4.500;
2;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;1;PCS;5.400;0;5.400;
1;0171;YOGHURT JELLY BOTOL 10000;;;;;1;PCS;8.500;0;8.500;
1;0369;KRUPUK RDN BESAR;;;;;4;PCS;4.000;0;16.000;
1;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;;;;;1;PCS;4.500;0;4.500;
2;8992907952549;SARI ROTI DORAYAKI COKLAT;;;;;1;PCS;5.400;0;5.400;
1;0555511100;KRIPIK KRIWIL DECONE;;;;;2;PCS;5.000;0;10.000;
1;8997215750085;WIN CHEESE GOLD 170GR;;;;;2;PCS;12.103;0;24.206;
2;8997215750153;WINCHEESZ PREMIUM 160GR;;;;;1;PCS;15.728;0;15.728;
3;8993058304201;BEJO JAHE MERAH 15ML;;;;;12;PCS;2.417;0;29.004;
