No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;0369;KRUPUK RDN BESAR;;;;;3;PCS;4.000;0;12.000;
2;875692692150;KRUPUK RDN KECIL;;;;;7;PCS;1.600;0;11.200;
1;8995108509499;KUACI REBO GREEN TEA 150G;;;;;3;PCS;12.634;0;37.902;
1;875692692150;KRUPUK RDN KECIL;;;;;1;PCS;1.600;0;1.600;
2;0369;KRUPUK RDN BESAR;;;;;4;PCS;4.000;0;16.000;
1;00222111;TELOR OMEGA HAPPY ISI 6;;;;;3;PCS;15.100;0;45.300;
2;011212121212;TELOR OMEGA ISI 10 HAPPY;;;;;3;PCS;24.500;0;73.500;
1;1122211122;SNACK LANGGENG;;;;;3;PCS;18.000;0;54.000;
1;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;;;;;4;PCS;4.500;0;18.000;
2;8992907230012;SARI ROTI ISI COKLAT;;;;;4;PCS;3.150;0;12.600;
3;8992907952037;SARI ROTI ISI COKLAT KEJU;;;;;3;PCS;3.600;0;10.800;
4;8992907952143;SARI ROTI KRIM KEJU;;;;;2;PCS;4.500;0;9.000;
5;8992907996413;SARI ROTI SOBEK DUO COK KEJ;;;;;2;PCS;9.450;0;18.900;
6;8992907996321;SARI ROTI KASUR KLASIK;;;;;2;PCS;9.900;0;19.800;
7;8992907720018;SARI ROTI SOBEK COKLAT KEJU;;;;;3;PCS;16.200;0;48.600;
1;8993004786853;MR POTATO CRIPS RASA SAPI PANGGANG 85G;;;;;1;PCS;13.298;0;13.298;
1;0104;SNACK GREGET;;;;;1;PCS;7.500;0;7.500;
1;011121211;ROTI ADA KRIM BR;;;;;2;PCS;7.200;0;14.400;
1;02222001;SNACK MAKARONI DLL BR 5000;;;;;6;PCS;4.000;0;24.000;
1;0259;TEH TARIK HANAANG CUP;;;;;2;PCS;5.500;0;11.000;
1;8992907952327;SARI ROTI SANDWICH COKLAT;;;;;1;PCS;5.400;0;5.400;
2;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;;;;;5;PCS;4.500;0;22.500;
3;8992907230012;SARI ROTI ISI COKLAT;;;;;3;PCS;3.150;0;9.450;
4;8992907952037;SARI ROTI ISI COKLAT KEJU;;;;;1;PCS;3.600;0;3.600;
5;8992907420017;SARI ROTI KRIM COKLAT;;;;;1;PCS;4.500;0;4.500;
