No.;Kd. Item;Nama Item;Jml;Satuan;Harga;Pot. %;Total;
1;0320;ROTI COY;5;PCS;2.500;0;12.500;
1;0205;SNACK SUCI FOODS KACANG BALA-BALA;1;PCS;15.000;0;15.000;
1;011121211;ROTI ADA KRIM BR;2;PCS;7.200;0;14.400;
1;0426;KERIPIK SINGKONG ELVIKA;2;PCS;2.000;0;4.000;
1;8992907952327;SARI ROTI SANDWICH COKLAT;1;PCS;5.400;0;5.400;
1;0369;KRUPUK RDN BESAR;2;PCS;4.000;0;8.000;
1;0453;BROWNIES BUMI RASA;7;PCS;5.000;0;35.000;
1;011121211;ROTI ADA KRIM BR;4;PCS;7.200;0;28.800;
1;011121211;ROTI ADA KRIM BR;3;PCS;7.200;0;21.600;
1;0259;TEH TARIK HANAANG CUP;1;PCS;5.500;0;5.500;
1;8997021220369;PRONAS JAMUR 400 GR;3;PCS;20.306;0;60.918;
1;0298;SNACK BAPER;16;PCS;2.000;0;32.000;
1;1107928104113;LAMOR PARFUME ROLL ON;16;PCS;10.000;0;160.000;
2;1107928109200;LAMOR PARFUME SPRAY 30ML;2;PCS;22.000;0;44.000;
1;0104;SNACK GREGET;25;PCS;7.500;0;187.500;
1;875692692150;KRUPUK RDN KECIL;3;PCS;1.600;0;4.800;
2;0369;KRUPUK RDN BESAR;5;PCS;4.000;0;20.000;
1;0259;TEH TARIK HANAANG CUP;4;PCS;5.500;0;22.000;
1;8994596;YOGHURT MAMAZY 250ML;1;PCS;8.000;0;8.000;
1;011121211;ROTI ADA KRIM BR;2;PCS;7.200;0;14.400;
1;020101;ROTI AOKA;13;PCS;3.500;0;45.500;
1;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;2;PCS;16.200;0;32.400;
1;0453;BROWNIES BUMI RASA;3;PCS;5.000;0;15.000;
1;1122211122;SNACK LANGGENG;9;PCS;18.000;0;162.000;
1;8993004785160;SMAX RING CHEESE 40G;7;PCS;3.996;0;27.972;
2;8993004788765;CORNTOZ SAPI PANGGANG 75GR;4;PCS;3.996;0;15.984;
1;0171;YOGHURT JELLY BOTOL 10000;1;PCS;8.500;0;8.500;
1;0320;ROTI COY;3;PCS;2.500;0;7.500;
1;0259;TEH TARIK HANAANG CUP;6;PCS;5.500;0;33.000;
1;0369;KRUPUK RDN BESAR;5;PCS;4.000;0;20.000;
1;023;SNACK DUA IKAN;24;PCS;4.000;0;96.000;
1;8992907952549;SARI ROTI DORAYAKI COKLAT;1;PCS;5.400;0;5.400;
1;011121211;ROTI ADA KRIM BR;5;PCS;7.200;0;36.000;
