No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;8992907952327;SARI ROTI SANDWICH COKLAT;;;;;4;PCS;5.400;0;21.600;
2;8992907952334;SARI ROTI SANDWICH KRIM KEJU;;;;;2;PCS;5.400;0;10.800;
3;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;;;;;1;PCS;4.500;0;4.500;
4;8992907996758;SARI ROTI SANDWICH ZUPERR MOCHA;;;;;1;PCS;4.500;0;4.500;
5;8992907000813;SARI ROTI SANDWICH ZUPER STRAW;;;;;2;PCS;4.500;0;9.000;
6;8992907000554;SARI ROTI KRIM ZUPER CHOCO;;;;;1;PCS;4.500;0;4.500;
7;8992907000561;SARI ROTI KRIM ZUPER STRAW;;;;;2;PCS;4.500;0;9.000;
8;8992907952549;SARI ROTI DORAYAKI COKLAT;;;;;2;PCS;5.400;0;10.800;
9;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;1;PCS;5.400;0;5.400;
10;8992907000806;SARI ROTI DORAYAKI PANDAN;;;;;2;PCS;5.400;0;10.800;
11;8992907996413;SARI ROTI SOBEK DUO COK KEJ;;;;;1;PCS;10.000;0;10.000;
12;8992907780012;SARI ROTI KASUR KEJU;;;;;2;PCS;12.250;0;24.500;
13;8992907996321;SARI ROTI KASUR KLASIK;;;;;1;PCS;10.500;0;10.500;
1;8997220410851;KIN YOGHURT SLIMBERRIES 200 ML;;;;;5;PCS;6.320;0;31.600;
1;02222001;SNACK MAKARONI DLL BR 5000;;;;;4;PCS;4.000;0;16.000;
1;0369;KRUPUK RDN BESAR;;;;;8;PCS;4.000;0;32.000;
2;875692692150;KRUPUK RDN KECIL;;;;;4;PCS;1.600;0;6.400;
1;8997021220253;PRONAS ABON SAPI BW GORENG 110 GR;;;;;2;PCS;30.607;0;61.214;
2;8997021220154;PRONAS ABON SAPI 110G;;;;;2;PCS;30.607;0;61.214;
3;8992804119816;PRONAS CORNED BEEF 198G;;;;;2;PCS;22.171;0;44.342;
4;8992804900643;PRONAS CORNED BEEF KORNETKU 200G;;;;;1;PCS;15.941;0;15.941;
5;8992804900650;PRONAS CORNED BEEF KORNETKU 340G;;;;;2;PCS;21.386;0;42.772;
6;8992820115519;PRONAS SARDEN TOMAT 155G;;;;;1;PCS;10.448;0;10.448;
7;8992804900568;PRONAS SARDEN PEDAS 155G;;;;;1;PCS;10.448;0;10.448;
1;8992907953287;SARI ROTI TAWAR KUPAS JUMBO;;;;;1;PCS;18.500;0;18.500;
2;8992907996758;SARI ROTI SANDWICH ZUPERR MOCHA;;;;;3;PCS;4.500;0;13.500;
3;8992907996765;SARI ROTI SANDWICH ZUPERR SWEET;;;;;2;PCS;4.500;0;9.000;
4;8992907000813;SARI ROTI SANDWICH ZUPER STRAW;;;;;3;PCS;4.500;0;13.500;
5;8992907420017;SARI ROTI KRIM COKLAT;;;;;1;PCS;4.500;0;4.500;
6;8992907952143;SARI ROTI KRIM KEJU;;;;;1;PCS;4.500;0;4.500;
7;8992907996772;SARI ROTI DORAYAKI STRAWBERRY;;;;;2;PCS;5.400;0;10.800;
8;8992907000806;SARI ROTI DORAYAKI PANDAN;;;;;4;PCS;5.400;0;21.600;
9;8992907000820;SARI ROTI WAFFLE;;;;;1;PCS;4.500;0;4.500;
