No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;011121211;ROTI ADA KRIM BR;;;;;2;PCS;7.200;0;14.400;
1;0369;KRUPUK RDN BESAR;;;;;1;PCS;4.000;0;4.000;
2;875692692150;KRUPUK RDN KECIL;;;;;1;PCS;1.600;0;1.600;
1;8997221161288;JAHE MERAH MANTAB 18G;;;;;36;PCS;655;0;23.580;
2;8993371100146;JAHE WANGI INTRA SC;;;;;80;PCS;835;0;66.800;
3;8992003783375;ANTANGIN PERMEN 100G;;;;;3;PAK;4.977;0;14.931;
4;8992003782453;OB HERBAL 60ML;;;;;2;PCS;12.710;0;25.420;
1;0295;SNACK MAKARONI MABASA 30G;;;;;8;PCS;2.000;0;16.000;
1;011121211;ROTI ADA KRIM BR;;;;;5;PCS;7.200;0;36.000;
1;8997009539179;PADIMAS CUPCAKE;;;;;3;PCS;3.000;0;9.000;
1;875692692150;KRUPUK RDN KECIL;;;;;2;PCS;1.600;0;3.200;
1;08999;KOPI SUSU GULA AREN REKANSETIA;;;;;1;PCS;13.000;0;13.000;
1;020101;ROTI AOKA;;;;;5;PCS;3.500;0;17.500;
2;0320;ROTI COY;;;;;3;PCS;2.500;0;7.500;
1;011121211;ROTI ADA KRIM BR;;;;;3;PCS;7.200;0;21.600;
1;01112211222;SNACK SUCIFOODS 2500;;;;;11;PCS;1.700;0;18.700;
1;0104;SNACK GREGET;;;;;4;PCS;7.500;0;30.000;
1;08999;KOPI SUSU GULA AREN REKANSETIA;;;;;2;PCS;13.000;0;26.000;
1;0369;KRUPUK RDN BESAR;;;;;4;PCS;4.000;0;16.000;
2;875692692150;KRUPUK RDN KECIL;;;;;4;PCS;1.600;0;6.400;
1;020101;ROTI AOKA;;;;;6;PCS;3.500;0;21.000;
2;0320;ROTI COY;;;;;1;PCS;2.500;0;2.500;
1;0369;KRUPUK RDN BESAR;;;;;4;PCS;4.000;0;16.000;
2;875692692150;KRUPUK RDN KECIL;;;;;1;PCS;1.600;0;1.600;
1;0259;TEH TARIK HANAANG CUP;;;;;4;PCS;5.500;0;22.000;
1;8992003170403;ANTANGIN JRG/STRIP;;;;;5;PAK;2.900;0;14.500;
1;0002220000;ES MOCI MHS 5500;;;;;2;PCS;4.500;0;9.000;
1;03;ALGANT MADU PAHIT 470ML;;;;;1;PCS;70.000;0;70.000;
2;05;ALGANT MADU MURNI 470ML;;;;;1;PCS;70.000;0;70.000;
1;0205;SNACK SUCI FOODS KACANG BALA-BALA;;;;;5;PCS;15.000;0;75.000;
2;01112211222;SNACK SUCIFOODS 2500;;;;;1;PCS;1.700;0;1.700;
1;011121211;ROTI ADA KRIM BR;;;;;3;PCS;7.200;0;21.600;
1;0369;KRUPUK RDN BESAR;;;;;4;PCS;4.000;0;16.000;
2;875692692150;KRUPUK RDN KECIL;;;;;4;PCS;1.600;0;6.400;
1;021234;JAMU MBOK SUM KUNYIT ASAM;;;;;7;PCS;9.000;0;63.000;
1;00;SNACK AMANDA;;;;;1;PCS;4.000;0;4.000;
1;0111100;SERUNDENG SINDANG SONO;;;;;5;PCS;8.000;0;40.000;
