Kode Item;Nama Item;Jenis;Jumlah;Satuan;Total Harga;
8992761139018;ADES 600ML;MNM;312;PCS;767.208;
8996001600849;NIPIS MADU 330 ML;MNM;240;PCS;790.080;
8991002105485;KAPAL API SPECIALMIX;MNM;240;PCS;398.400;
8994171101289;LUWAK WHITE KOFFIE;MNM;220;PCS;302.940;
057;STIKER POLMAN;SOUVENIR;216;PCS;324.000;
9311931024036;INDOCAFE COFEEMIX 20G;MNM;200;PCS;286.000;
8993207110080;CHAMP SOSIS AYAM 1;MKN;168;PCS;127.176;
8996001440124;ENERGEN VANILA;MNM;160;PCS;264.000;
8996001440049;ENERGEN COKLAT;MNM;160;PCS;264.000;
8993207120072;CHAMP SOSIS SAPI 1;MKN;144;PCS;109.008;
08999;KOPI SUSU GULA AREN REKANSETIA;MNM;140;PCS;1.820.000;
8996001354124;BENG-BENG 22GR;MKN;136;PCS;287.912;
8991906101644;DJARUM COKLAT;ROKOK;120;PCS;1.836.750;
8997001990039;SIERRA MINERAL 600 ML;MNM;120;PCS;174.000;
0298;SNACK BAPER;MKN;120;PCS;240.000;
089686010947;INDOMIE GORENG;MKN;120;PCS;334.000;
089686010015;INDOMIE AYAM BAWANG;MNM;120;PCS;315.640;
8993539146009;MINRAL 600ML;MNM;120;PCS;142.560;
8991002103238;GOODDAY MOCACINO;MNM;120;PCS;164.520;
025;AQUA GALON REFFIL;MNM;113;PCS;1.858.850;
8991102794619;TANGO WAFFLE CHOCO HAZEL 25 G;MKN;108;PCS;178.200;
8992907230012;SARI ROTI ISI COKLAT;MKN;98;PCS;308.700;
8998009040023;TEH KOTAK 200ML+100ML;MNM;96;PCS;292.800;
0259;TEH TARIK HANAANG CUP;MNM;95;PCS;522.500;
8992907952037;SARI ROTI ISI COKLAT KEJU;MKN;94;PCS;338.400;
8991002105423;KAPAL API 165G;MNM;80;PCS;1.663.000;
8999909001909;MAGNUM;ROKOK;80;PCS;1.940.400;
749921011701;NUTRISARI MILKY PEACH SC;MNM;80;PCS;95.440;
8992761166052;FRESTEA JASMINE 350ML;MNM;72;PCS;214.848;
8996001600269;LE MINERALE 600ML;MNM;72;PCS;142.488;
8993539106003;RON 88 600ML;MNM;72;PCS;123.048;
8992761166229;FRESTEA MARKISA 350ML;MNM;72;PCS;214.848;
8998009010231;ULTRA COKLAT 250ML;MNM;72;PCS;406.800;
8997011930612;LADAKU MERICA BUBUK;MKN;72;PCS;59.688;
0318;SARI TEMULAWAK;MNM;72;PCS;198.000;
8999510785540;PRISTINE 400ML;MNM;72;PCS;176.184;
8992761166212;FRESTEA APEL 350ML;MNM;72;PCS;214.848;
8997240930070;DELQUA MINERAL 600 ML;MNM;72;PCS;75.024;
8992761166205;FRESTEA GREEN HONEY 350ML;MNM;72;PCS;214.848;
8996001600146;TEH PUCUK HARUM 350ML;MNM;72;PCS;198.000;
8996006858016;TEH BOTOL 350ML;MNM;72;PCS;252.000;
8997007521619;BAWANG PUTIH BUBUK 4G;MKN;72;PCS;31.032;
