Kode Item;Nama Item;Jenis;Merek;Jumlah;Satuan;Total Harga;
8996001354124;BENG-BENG 22GR;MKN;;151;PCS;377.500;
089686010015;INDOMIE AYAM BAWANG;MNM;;139;PCS;486.500;
8991002105485;KAPAL API SPECIALMIX;MNM;;138;PCS;276.000;
08999;KOPI SUSU GULA AREN REKANSETIA;MNM;;105;PCS;1.680.000;
8994171101289;LUWAK WHITE KOFFIE;MNM;;98;PCS;196.000;
01112211222;SNACK SUCIFOODS 2500;MKN;;97;PCS;242.500;
9311931201208;MAXTEA TARIK;MNM;;95;PCS;285.000;
025;AQUA GALON REFFIL;MNM;;93;PCS;2.046.000;
8992761139018;ADES 600ML;MNM;;86;PCS;344.000;
8991906101644;DJARUM COKLAT;ROKOK;;84;PCS;1.556.000;
9311931024036;INDOCAFE COFEEMIX 20G;MNM;;84;PCS;168.000;
089686010947;INDOMIE GORENG;MKN;;79;PCS;276.500;
8999909001909;MAGNUM;ROKOK;;70;PCS;1.890.000;
8991002103238;GOODDAY MOCACINO;MNM;;67;PCS;134.000;
8998009010224;ULTRA FC 250ML;MNM;;53;PCS;389.000;
8997235080025;NQUA MINERAL 600 ML;MNM;;51;PCS;153.000;
8991002135017;KAPAL API GULA AREN 23G;MNM;;51;PCS;102.000;
8998898101409;TOLAK ANGIN CAIR 15ML;P3K;;51;PCS;246.500;
8991002105423;KAPAL API 165G;MNM;;50;PCS;1.150.000;
8996001600726;LE MINERAL GALON 15L;MNM;;46;PCS;966.000;
8997001990039;SIERRA MINERAL 600 ML;MNM;;41;PCS;123.000;
046;TROPICANA SC;MKN;;40;PCS;32.000;
044798;MATERAI 10000;ATK;;40;PCS;480.000;
8996006858016;TEH BOTOL 350ML;MNM;;40;PCS;180.000;
0281;YAKULT;MNM;;39;PCS;97.500;
8996001355756;BENG-BENG MAXX 32G;MKN;;38;PCS;152.000;
011121211;ROTI ADA KRIM BR;MKN;;35;PCS;280.000;
8997217710070;KOPI HATOBA AREN SC;MNM;;34;PCS;85.000;
8999909028234;DJI SAM SOE 12;ROKOK;;33;PCS;693.000;
8998989100120;G.G FILTER 12;ROKOK;;33;PCS;891.000;
