No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;02222001;SNACK MAKARONI DLL BR 5000;;;;;7;PCS;4.000;0;28.000;
1;1107928104113;LAMOR PARFUME ROLL ON;;;;;24;PCS;10.000;0;240.000;
2;1107928109200;LAMOR PARFUME SPRAY 30ML;;;;;13;PCS;22.000;0;286.000;
1;0171;YOGHURT JELLY BOTOL 10000;;;;;5;PCS;8.500;0;42.500;
1;0369;KRUPUK RDN BESAR;;;;;1;PCS;4.000;0;4.000;
2;875692692150;KRUPUK RDN KECIL;;;;;5;PCS;1.600;0;8.000;
1;022111211;TERI CRYSPY KECIL;;;;;9;PCS;9.000;0;81.000;
1;8997021220161;PRONAS ABON SAPI PEDAS 110G;;;;;2;PCS;32.177;0;64.354;
1;8992907952327;SARI ROTI SANDWICH COKLAT;;;;;1;PCS;5.400;0;5.400;
2;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;;;;;2;PCS;4.950;0;9.900;
3;8992907000806;SARI ROTI DORAYAKI PANDAN;;;;;4;PCS;5.400;0;21.600;
4;8992907995928;SARI ROTI CHEESE CAKE;;;;;2;PCS;8.100;0;16.200;
1;0555511100;KRIPIK KRIWIL DECONE;;;;;2;PCS;5.000;0;10.000;
1;8994596;YOGHURT MAMAZY 250ML;;;;;4;PCS;8.000;0;32.000;
1;8991188943062;SASA MSG 250G;;;;;6;PCS;12.303;0;73.818;
1;8992907952327;SARI ROTI SANDWICH COKLAT;;;;;3;PCS;5.400;0;16.200;
2;8992907952334;SARI ROTI SANDWICH KRIM KEJU;;;;;2;PCS;5.400;0;10.800;
3;8992907230012;SARI ROTI ISI COKLAT;;;;;3;PCS;3.600;0;10.800;
4;8992907952037;SARI ROTI ISI COKLAT KEJU;;;;;2;PCS;3.600;0;7.200;
5;8992907000554;SARI ROTI KRIM ZUPER CHOCO;;;;;1;PCS;4.500;0;4.500;
6;8992907996321;SARI ROTI KASUR KLASIK;;;;;1;PCS;10.500;0;10.500;
1;011121211;ROTI ADA KRIM BR;;;;;8;PCS;7.200;0;57.600;
1;0453;BROWNIES BUMI RASA;;;;;1;PCS;5.000;0;5.000;
1;0259;TEH TARIK HANAANG CUP;;;;;9;PCS;5.500;0;49.500;
1;1122211122;SNACK LANGGENG;;;;;5;PCS;18.000;0;90.000;
1;0171;YOGHURT JELLY BOTOL 10000;;;;;16;PCS;8.500;0;136.000;
1;036;TELOR OMEGA ISI 10;;;;;2;PCS;24.399;0;48.798;
1;011212121212;TELOR OMEGA ISI 10 HAPPY;;;;;1;PCS;27.000;0;27.000;
1;9556439890961;LEXUS CHOCOLATE SANDWICH 76 GR;;;;;4;PCS;10.563;0;42.252;
1;8993058304201;BEJO JAHE MERAH 15ML;;;;;12;PCS;2.417;0;29.004;
2;8935001723769;CHUPA CHUP LOLIPOP;;;;;3;PCS;1.400;0;4.200;
3;8999777026370;HANSAPLAST SC;;;;;200;PCS;283;0;56.600;
1;08999;KOPI SUSU GULA AREN REKANSETIA;;;;;6;PCS;13.000;0;78.000;
1;8992907000806;SARI ROTI DORAYAKI PANDAN;;;;;1;PCS;5.400;0;5.400;
