No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;011121211;ROTI ADA KRIM BR;;;;;2;PCS;7.200;0;14.400;
1;0171;YOGHURT JELLY BOTOL 10000;;;;;3;PCS;8.500;0;25.500;
1;8992907953287;SARI ROTI TAWAR KUPAS JUMBO;;;;;1;PCS;18.000;0;18.000;
2;8992907952334;SARI ROTI SANDWICH KRIM KEJU;;;;;2;PCS;5.400;0;10.800;
3;8992907952037;SARI ROTI ISI COKLAT KEJU;;;;;1;PCS;3.600;0;3.600;
4;8992907952549;SARI ROTI DORAYAKI COKLAT;;;;;2;PCS;5.400;0;10.800;
5;8992907996390;SARI ROTI SOBEK DUO COK;;;;;1;PCS;9.000;0;9.000;
6;8992907710019;SARI ROTI SOBEK COKLAT;;;;;1;PCS;16.200;0;16.200;
1;0369;KRUPUK RDN BESAR;;;;;2;PCS;4.000;0;8.000;
2;875692692150;KRUPUK RDN KECIL;;;;;4;PCS;1.600;0;6.400;
1;0295;SNACK MAKARONI MABASA 30G;;;;;26;PCS;2.000;0;52.000;
1;011121211;ROTI ADA KRIM BR;;;;;1;PCS;7.200;0;7.200;
1;1107928104113;LAMOR PARFUME ROLL ON;;;;;23;PCS;10.000;0;230.000;
2;1107928109200;LAMOR PARFUME SPRAY 30ML;;;;;12;PCS;22.000;0;264.000;
1;0259;TEH TARIK HANAANG CUP;;;;;14;PCS;5.500;0;77.000;
1;02211111;KERIPIK BAWANG KECIL BR;;;;;5;PCS;5.000;0;25.000;
1;00;SNACK AMANDA;;;;;3;PCS;4.000;0;12.000;
1;8993004785160;SMAX RING CHEESE 40G;;;;;2;PCS;3.996;0;7.992;
2;8993004788529;SMAX BALLS COK 40G;;;;;4;PCS;3.996;0;15.984;
1;0298;SNACK BAPER;;;;;34;PCS;2.000;0;68.000;
1;02222001;SNACK MAKARONI DLL BR 5000;;;;;4;PCS;4.000;0;16.000;
1;1122211122;SNACK LANGGENG;;;;;4;PCS;18.000;0;72.000;
1;8992907952327;SARI ROTI SANDWICH COKLAT;;;;;3;PCS;5.400;0;16.200;
2;8992907952037;SARI ROTI ISI COKLAT KEJU;;;;;2;PCS;3.600;0;7.200;
3;8992907230012;SARI ROTI ISI COKLAT;;;;;2;PCS;3.600;0;7.200;
4;8992907420017;SARI ROTI KRIM COKLAT;;;;;1;PCS;4.500;0;4.500;
5;8992907952143;SARI ROTI KRIM KEJU;;;;;3;PCS;4.500;0;13.500;
6;8992907952549;SARI ROTI DORAYAKI COKLAT;;;;;2;PCS;5.400;0;10.800;
7;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;3;PCS;5.400;0;16.200;
8;8992907996413;SARI ROTI SOBEK DUO COK KEJ;;;;;1;PCS;9.450;0;9.450;
9;8992907996321;SARI ROTI KASUR KLASIK;;;;;1;PCS;9.900;0;9.900;
1;0369;KRUPUK RDN BESAR;;;;;2;PCS;4.000;0;8.000;
2;875692692150;KRUPUK RDN KECIL;;;;;1;PCS;1.600;0;1.600;
1;0453;BROWNIES BUMI RASA;;;;;21;PCS;5.000;0;105.000;
1;0171;YOGHURT JELLY BOTOL 10000;;;;;4;PCS;8.500;0;34.000;
1;8992907952037;SARI ROTI ISI COKLAT KEJU;;;;;1;PCS;3.600;0;3.600;
2;8992907230012;SARI ROTI ISI COKLAT;;;;;4;PCS;3.600;0;14.400;
3;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;3;PCS;5.400;0;16.200;
4;8992907710019;SARI ROTI SOBEK COKLAT;;;;;1;PCS;16.200;0;16.200;
5;8992907720018;SARI ROTI SOBEK COKLAT KEJU;;;;;1;PCS;16.200;0;16.200;
1;011121211;ROTI ADA KRIM BR;;;;;4;PCS;7.200;0;28.800;
1;0259;TEH TARIK HANAANG CUP;;;;;5;PCS;5.500;0;27.500;
1;01112211222;SNACK SUCIFOODS 2500;;;;;12;PCS;1.700;0;20.400;
1;8992907952327;SARI ROTI SANDWICH COKLAT;;;;;1;PCS;5.400;0;5.400;
2;8992907952549;SARI ROTI DORAYAKI COKLAT;;;;;1;PCS;5.400;0;5.400;
3;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;3;PCS;5.400;0;16.200;
4;8992907780012;SARI ROTI KASUR KEJU;;;;;1;PCS;11.700;0;11.700;
5;8992907710019;SARI ROTI SOBEK COKLAT;;;;;1;PCS;16.200;0;16.200;
6;8992907720018;SARI ROTI SOBEK COKLAT KEJU;;;;;1;PCS;16.200;0;16.200;
1;8993176131208;V FRESH HOT 8ML;;;;;3;PCS;7.001;0;21.003;
2;8993176130591;V FRESH ORIGINAL 8ML;;;;;3;PCS;7.001;0;21.003;
1;02211111;KERIPIK BAWANG KECIL BR;;;;;4;PCS;5.000;0;20.000;
1;8992907952327;SARI ROTI SANDWICH COKLAT;;;;;3;PCS;5.400;0;16.200;
2;8992907230012;SARI ROTI ISI COKLAT;;;;;1;PCS;3.600;0;3.600;
3;8992907952549;SARI ROTI DORAYAKI COKLAT;;;;;2;PCS;5.400;0;10.800;
4;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;4;PCS;5.400;0;21.600;
5;8992907780012;SARI ROTI KASUR KEJU;;;;;1;PCS;11.700;0;11.700;
6;8992907710019;SARI ROTI SOBEK COKLAT;;;;;1;PCS;16.200;0;16.200;
7;8992907720018;SARI ROTI SOBEK COKLAT KEJU;;;;;1;PCS;16.200;0;16.200;
