Kode Item;Nama Item;Jenis;Merek;Jumlah;Satuan;Total Harga;
8991002105485;KAPAL API SPECIALMIX;MNM;;222;PCS;444.000;
8997001990039;SIERRA MINERAL 600 ML;MNM;;195;PCS;585.000;
046;TROPICANA SC;MKN;;190;PCS;152.000;
8997235080025;NQUA MINERAL 600 ML;MNM;;141;PCS;393.000;
020101;ROTI AOKA;MKN;;126;PCS;504.000;
8996001600849;NIPIS MADU 330 ML;MNM;;124;PCS;558.000;
8991906101644;DJARUM COKLAT;ROKOK;;122;PCS;2.257.000;
0259;TEH TARIK HANAANG CUP;MNM;;119;PCS;833.000;
089686010015;INDOMIE AYAM BAWANG;MNM;;118;PCS;413.000;
8993539146009;MINRAL 600ML;MNM;;114;PCS;342.000;
08999;KOPI SUSU GULA AREN REKANSETIA;MNM;;113;PCS;1.808.000;
8993539106003;RON 88 600ML;MNM;;103;PCS;309.000;
089686010947;INDOMIE GORENG;MKN;;102;PCS;357.000;
8994171101289;LUWAK WHITE KOFFIE;MNM;;102;PCS;204.000;
9311931024036;INDOCAFE COFEEMIX 20G;MNM;;100;PCS;200.000;
0281;YAKULT;MNM;;99;PCS;247.500;
8991002103238;GOODDAY MOCACINO;MNM;;94;PCS;188.000;
025;AQUA GALON REFFIL;MNM;;87;PCS;1.914.000;
8993207110080;CHAMP SOSIS AYAM 1;MKN;;83;PCS;124.500;
8996001600269;LE MINERALE 600ML;MNM;;81;PCS;324.000;
0167;PIKDA MA ACAH;MKN;;81;PCS;405.000;
896867700326;CLUB 600ML;MNM;;79;PCS;237.000;
8997217710070;KOPI HATOBA AREN SC;MNM;;73;PCS;182.500;
01112211222;SNACK SUCIFOODS 2500;MKN;;71;PCS;177.500;
8996129803504;CLEO 600ML;MNM;;70;PCS;210.000;
8992957251579;PEANUT PIE 30G;MKN;;69;PCS;300.000;
8999909001909;MAGNUM;ROKOK;;68;PCS;1.786.000;
8992982206001;NESTLE PURE LIFE 600ML;MNM;;68;PCS;204.000;
8992907230012;SARI ROTI ISI COKLAT;MKN;;68;PCS;238.000;
0171;YOGHURT JELLY BOTOL 10000;MNM;;68;PCS;680.000;
8992761139018;ADES 600ML;MNM;;66;PCS;264.000;
8997009539179;PADIMAS CUPCAKE;MKN;;64;PCS;224.000;
