Kode Item;Nama Item;Jenis;Merek;Jumlah;Satuan;Total Harga;
8992718853806;CUP NOODLE RASA KALDU SAPI;MKN;;;PCS;15.000;
8997235080025;NQUA MINERAL 600 ML;MNM;;212;PCS;424.000;
8991002105485;KAPAL API SPECIALMIX;MNM;;179;PCS;358.000;
8996001600849;NIPIS MADU 330 ML;MNM;;174;PCS;783.000;
8996001354124;BENG-BENG 22GR;MKN;;170;PCS;425.000;
8997001990039;SIERRA MINERAL 600 ML;MNM;;167;PCS;501.000;
089686010015;INDOMIE AYAM BAWANG;MNM;;136;PCS;476.000;
089686010947;INDOMIE GORENG;MKN;;125;PCS;437.500;
9311931024036;INDOCAFE COFEEMIX 20G;MNM;;125;PCS;250.000;
08999;KOPI SUSU GULA AREN REKANSETIA;MNM;;122;PCS;1.952.000;
0281;YAKULT;MNM;;119;PCS;297.500;
896867700326;CLUB 600ML;MNM;;109;PCS;327.000;
8991906101644;DJARUM COKLAT;ROKOK;;108;PCS;1.881.000;
025;AQUA GALON REFFIL;MNM;;103;PCS;2.266.000;
01112211222;SNACK SUCIFOODS 2500;MKN;;103;PCS;257.500;
8992761139018;ADES 600ML;MNM;;97;PCS;339.500;
8992982206001;NESTLE PURE LIFE 600ML;MNM;;91;PCS;273.000;
8991002103238;GOODDAY MOCACINO;MNM;;90;PCS;180.000;
8998009010224;ULTRA FC 250ML;MNM;;80;PCS;560.000;
020101;ROTI AOKA;MKN;;79;PCS;316.000;
8993207110080;CHAMP SOSIS AYAM 1;MKN;;78;PCS;117.000;
8996006858016;TEH BOTOL 350ML;MNM;;73;PCS;328.500;
0298;SNACK BAPER;MKN;;70;PCS;175.000;
8992957251579;PEANUT PIE 30G;MKN;;69;PCS;276.000;
8992907952037;SARI ROTI ISI COKLAT KEJU;MKN;;68;PCS;272.000;
8992907230012;SARI ROTI ISI COKLAT;MKN;;66;PCS;231.000;
8998898101119;STMJ;MNM;;66;PCS;198.000;
8997240930070;DELQUA MINERAL 600 ML;MNM;;65;PCS;195.000;
8998009040023;TEH KOTAK 200ML+100ML;MNM;;64;PCS;256.000;
0259;TEH TARIK HANAANG CUP;MNM;;64;PCS;448.000;
8993190912210;AMIDIS 600ML;MNM;;62;PCS;248.000;
8998009010231;ULTRA COKLAT 250ML;MNM;;60;PCS;420.000;
8996129803504;CLEO 600ML;MNM;;55;PCS;165.000;
011121211;ROTI ADA KRIM BR;MKN;;54;PCS;432.000;
8999510785540;PRISTINE 400ML;MNM;;53;PCS;212.000;
8996001600146;TEH PUCUK HARUM 350ML;MNM;;53;PCS;265.000;
8996001401033;TORABIKA DUO;MNM;;51;PCS;76.500;
046;TROPICANA SC;MKN;;50;PCS;40.000;
8991002105423;KAPAL API 165G;MNM;;49;PCS;1.109.000;
8992761166243;FRESTEA NUSANTARA 350ML;MNM;;49;PCS;196.000;
9311931201208;MAXTEA TARIK;MNM;;49;PCS;147.000;
8994171101289;LUWAK WHITE KOFFIE;MNM;;48;PCS;96.000;
8997001990046;SIERRA MINERAL 1500 ML;MNM;;48;PCS;240.000;
8991102026352;CRYSTALIN 600 ML;MNM;;48;PCS;144.000;
8998989100120;G.G FILTER 12;ROKOK;;48;PCS;1.296.000;
8996006142511;TEH BOTOL SOSRO 250ML;MNM;;48;PCS;144.000;
0320;ROTI COY;MKN;;47;PCS;141.000;
8999909001909;MAGNUM;ROKOK;;46;PCS;1.196.000;
8997035563414;POCARI SWEAT 500ML;MNM;;44;PCS;352.000;
8996001600726;LE MINERAL GALON 15L;MNM;;43;PCS;903.000;
8997217710070;KOPI HATOBA AREN SC;MNM;;43;PCS;107.500;
044798;MATERAI 10000;ATK;;42;PCS;504.000;
0171;YOGHURT JELLY BOTOL 10000;MNM;;41;PCS;410.000;
8996129804228;CLEO 330ML;MKN;;41;PCS;82.000;
8991771200329;VITACIMIN C-500MG;MKN;;39;PCS;136.500;
8991002101630;ABC SUSU;MNM;;39;PCS;78.000;
8998009010248;ULTRA STROBERI 250ML;MNM;;38;PCS;266.000;
8992761166052;FRESTEA JASMINE 350ML;MNM;;38;PCS;152.000;
0426;KERIPIK SINGKONG ELVIKA;MKN;;37;PCS;92.500;
08;KIMBO SOSIS;MKN;;37;PCS;55.500;
